CC_PROPERTY_ID,PUBLIC_LISTING_COMMENTS
484185576,"2014 well built 2 bedroom, 2 bathroom, one level townhome in a 55+ community. hardwoods, 1st floor laundry, upgraded master bath, central air, 2 car garage, and more. home is immaculate! rent includes water and hoa fee which covers all exterior maintenance and garbage collection. no pets, smokers. 55+ community."
102692447,"charming 2 bdrm 1 bath ranch in hamburg - nice location - needs updating - property sold as is - seller will do no repairs - purchaser responsible for search, survey & transfer tax - information deemed reliable but not guaranteed - buyer should verify all information"
183982193,"welcome to this magnificent contemporary new construction in the levittown.this house features an open concept lavish living room,formal dining room,modern eat-in kitchen with ss appliances,granite countertops and center island,5 beautiful bedrooms,and 3 bathrooms. high hats all over..private driveway,1 car garage.gas heat & cooking.huge scenic front & backyard. close to schools,parks,and other amenities..what are you waiting for!! come and own this fairytale house!!"
100942880,"wow! you can have it all! this southern dutchess center hall colonial offers a gorgeous updated kitchen w/cherrywood cabinets,sparkling granite countertops,stainless steel appliances& a matching granite custon kitchen table.pocket doors lead from a cozy lr w/fpl to tv room & from kitchen to fdr. this home boasts oak,walnut plugged hdwd floors throughout 1st floor. a sgd leads to large 2tier deck for entertaining family & friends. large mbr suite w/eco friendly cork flooring,sitting room,large wic. mbth that will exceed all of your expectations,large shower w/radiant heated floor.3 additional nice-sized bedrooms with lighted closets. the finished basement has tiled floors,built in cabinets &closets. oversized 2-car garage,laundryroom &much more.too many upgrades to list.pride of ownership throughout. come & see for yourself - you will not be disappointed! nothing to do but move in,sit down,relax & enjoy all your new home has to offer! commuter-friendly location close i-84 &tsp. additional information: heatingfuel:oil above ground,parkingfeatures:2 car attached,"
850332318,"set just 3 miles from the city of hudson,this historic brick building offers gracious,executive style living that is perfect for those who like to entertain! grand living room w/fireplace,formal dining room with fp,period details incl. keyhole molding,wooden window shutters,& high ceilings! large family room also offers a fp & more relaxed living,while the 3 season sun room will surely be a delight to relax in with its view out onto the grounds and gazebo. galley style kitchen,2 bedrooms,(master with vaulted ceiling & beams),3 baths tucked into this old home's extra spaces,& plenty of storage. this is the ideal home for those who don't want to sacrifice elegant living or space,and don't want the worries of home ownership. all utilities included: heat,hot water,electricity,air conditioning,and garbage removal; there is coin operated laundry in the basement as well as a storage unit,& this home also includes a 1 car garage! strong ref. & credit check required"
183754571,"beautiful park-like yard (approx 1 acre) on round pond creek includes 16x32 fanta-sea pool and 4 person hot tub. over 2000 sf colonial w/ 3 bd 2 1/2 baths, new hardwood floors, stainless appliances on cul de sac, 400 sf deck w/ awning - great for entertaining. new roof, furnace, windows, and garage door. extra lot included in sale (045.03-4-15.118) 154 x 135."
496913031,"mother -daughter design is perfect for your growing and extended family. separate yet accessible to each other this home offers a total of 5 bedrooms and 2 1/2 baths. apartment has 2 bedrooms,full bath and full kitchen. private entry. also has hardwood floors fireplace,private back deck overlooking easy to maintain yard. 2 car attached garage and friendly,quiet neighborhood. 30 minutes to albany area,15 minutes to hudson. many recent upgrades include new roof,windows,front door,deck,new bath and more."
187688333,"very charming & immaculate 3 br ashley ranch with all perfect hardwood floors, country kitchen, brick fp. 2 decks, private large fenced yard, 2 sheds. quiet neighborhood. photos @ geraldine.com."
188964656,"lovely country colonial on oversized lot.updated maple&granite kitchen,updated baths,oak floors 1st floor,new roof 6/2013,new cesspool 11/2011,lovely livingrm w/fp,alarm system,wood 6panel doors and moldings. updated windows. quiet street. lovely landscaping,fenced yard. 2 car garage."
480768870,"2 acres of privacy. ranch style home with open great room floor plan, was in the process of being renovated. bank owned property being sold as-is. large updated jacuzzi bathroom. east fishkill amenities. great commuter location, minutes to taconic and i84 could be a great weekend getaway or year round residence. walking distance to appalacian trail. co and electric in place for an above ground pool. present all offers. needs contractor, builder...cash offers only"
