PROPERTY_ID,SALE_PRICE,SALE_DATE,YEAR_BUILT,EFFECTIVE_YEAR_BUILT,LATITUDE,LONGITUDE,STATE,CITY,ZIP,CENSUS_TRACT,LIVING_SQFT,LOT_SQFT,BEDROOMS,FULL_BATHS,HALF_BATHS,GARAGE_SPACES,FIREPLACE_CODE,TOTAL_POPULATION_25PLUS,MALE_BACHELORS_DEGREE,FEMALE_BACHELORS_DEGREE,PCT_BACHELORS_DEGREE,TOTAL_POPULATION,NON_HISPANIC_WHITE_POPULATION,PCT_WHITE,MEDIAN_EARNINGS_TOTAL,MEDIAN_EARNINGS_MALE,MEDIAN_EARNINGS_FEMALE,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOME_VALUE,MEDIAN_GROSS_RENT,OWNER_OCCUPIED_UNITS,RENTER_OCCUPIED_UNITS,PCT_OWNER_OCCUPIED,OCCUPIED_UNITS,VACANT_UNITS,MEDIAN_AGE,CIVILIAN_EMPLOYED,CIVILIAN_UNEMPLOYED,UNEMPLOYMENT_RATE,POPULATION_BELOW_POVERTY,POVERTY_RATE,COUNTY_NAME,COUNTY_FIPS,VOTES_GOP,VOTES_DEM,TOTAL_VOTES,PER_GOP,PER_DEM,PER_POINT_DIFF,DEM_MARGIN,REP_MARGIN,CC_LIST_ID
93992302,312000,2006-10-03,1956,1956,40.764438,-72.94535,ny,bellport,11713,159300,1544,10454,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Suffolk County,36103,381253,381021,771541,0.4941448348175923,0.4938441379006430,0.0003006969169492,-0.00615586209935697900,-0.00585516518240769600,
90427551,32000,2005-06-30,1900,1900,43.006112,-74.367799,ny,johnstown,12095,971200,2456,6098,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Fulton County,36035,15378,7931,23744,0.6476583557951483,0.3340212264150943,0.3136371293800539,-0.16597877358490570000,0.14765835579514830000,
90505687,610000,2021-12-17,2015,2015,42.195848,-74.134724,ny,tannersville,12485,080403,3419,6534,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Greene County,36039,14271,10346,25194,0.5664443915217909,0.4106533301579741,0.1557910613638168,-0.08934666984202588000,0.06644439152179094000,
92007152,58000,2015-09-11,2023,2023,43.180248,-78.782306,ny,lockport,14094,024303,2653,392040,2,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,Niagara County,36063,56068,46029,104080,0.5387009992313605,0.4422463489623366,0.0964546502690238,-0.05775365103766339000,0.03870099923136050000,
93300346,992793,2018-12-13,2018,2018,40.5089,-74.2336,ny,staten island,10307,024401,3712,13135,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,Richmond County,36085,123320,90997,216153,0.5705218063131208,0.4209842102584743,0.1495375960546464,-0.07901578974152568000,0.07052180631312077000,
93657671,38000,1997-08-19,1850,1850,42.525093,-76.736315,ny,trumansburg,14886,950100,1510,216493,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Schuyler County,36097,5621,3903,9766,0.5755682981773500,0.3996518533688306,0.1759164448085193,-0.10034814663116942000,0.07556829817735000000,
91728511,555000,2021-12-02,1960,1960,40.694507,-73.549275,ny,north bellmore,11710,408500,1220,7800,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Nassau County,36059,326716,396504,732756,0.4458728417099280,0.5411132764521888,-0.0952404347422607,0.04111327645218876000,-0.05412715829007197500,
91842763,9002135,2006-02-15,1935,1975,40.739446,-73.991507,ny,new york,10011,005400,14110,2600,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,New York County,36061,85185,603040,694904,0.1225852779664529,0.8678033224733200,-0.7452180445068671,0.36780332247332004000,-0.37741472203354710000,
93152577,88000,2009-08-25,1971,1971,42.528673,-73.71465,ny,castleton on hudson,12033,052501,2080,13504,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,Rensselaer County,36083,36500,40969,79409,0.4596456321071919,0.5159238877205354,-0.0562782556133435,0.01592388772053543500,-0.04035436789280811000,
93699600,144000,2025-01-13,1947,1947,42.161209,-77.065707,ny,corning,14830,962400,1080,9375,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Steuben County,36101,29474,15790,46178,0.6382693057300013,0.3419377192602538,0.2963315864697475,-0.15806228073974620000,0.13826930573000130000,
90434910,103000,2010-10-01,1900,1900,43.060005,-74.338643,ny,gloversville,12078,971100,2302,8200,5,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,Fulton County,36035,15378,7931,23744,0.6476583557951483,0.3340212264150943,0.3136371293800539,-0.16597877358490570000,0.14765835579514830000,
91135555,47500,1994-11-10,1900,1900,43.158413,-77.556883,ny,rochester,14609,007600,1200,5740,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Monroe County,36055,145661,225746,380983,0.3823293952748547,0.5925356249491447,-0.2102062296742899,0.09253562494914469000,-0.11767060472514529000,
93179397,498000,2011-03-30,1950,1950,40.62634,-74.108719,ny,staten island,10310,012100,1320,4000,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,Richmond County,36085,123320,90997,216153,0.5705218063131208,0.4209842102584743,0.1495375960546464,-0.07901578974152568000,0.07052180631312077000,
